Unnamed: 0,account,jobs,su,users,avg_cores,avg_nodes,cpuhours,cycle
100,pi-fritziea,70,9092.31,1,1.1286,0.9857,362.3397,2017
101,pi-wilde,705,8792.93,5,14.956,1.0284,8790.1931,2017
102,pi-tzeferacos,196,8477.26,2,35.7449,3.4286,8480.0761,2017
103,pi-hickmanbr,2092,8157.71,3,7.8867,1.3078,8143.3236,2017
104,pi-jdingel,11077,7749.92,5,1.1806,1.0036,7411.1822,2017
105,pi-price,95,7139.6,2,35.3053,5.4211,7139.2172,2017
106,pi-mhopkins,43,6364.74,1,16.7907,2.186,6364.5417,2017
107,pi-rjlalond,217,6354.22,2,17.3594,1.0415,6353.3853,2017
108,pi-hema,175,6213.41,1,24.9829,1.7543,6080.1211,2017
109,pi-siegela,587,6125.65,11,34.5196,5.5486,6123.04,2017
110,pi-eperozo,3,6110.32,1,320.0,20.0,6110.3111,2017
111,pi-littlewood,1110,6046.24,1,49.7225,5.6477,5945.3392,2017
112,pi-thomaswinberry,222,5931.97,1,9.5225,0.8018,6693.4947,2017
113,pi-rtp1,153,5733.27,3,14.6405,1.0196,5744.9103,2017
114,pi-rina,119,5602.14,1,103.3529,6.2941,5601.6128,2017
115,mpcs51087,507,5401.27,11,43.7416,5.7101,5398.8019,2017
116,pi-stuartrowan,117,5180.32,1,13.5385,0.8462,7104.0667,2017
117,pi-anitescu,129,5008.59,2,19.3643,1.155,4992.7067,2017
118,pi-jingyifei,22,4459.78,1,26.9091,2.3636,4459.6603,2017
119,pi-simonjon,86,4207.52,1,16.0581,2.2907,4207.2767,2017
120,pi-weare,40,3699.86,1,26.175,1.775,3699.6922,2017
121,pi-tcovert,110,3685.74,5,52.1364,3.8364,3681.5619,2017
122,astro33000,523,3576.4,12,8.262,1.4857,3215.0878,2017
123,meng34200,206,3517.3,9,31.5388,2.0825,3516.6794,2017
124,pi-berry,185,3183.29,1,30.3243,1.9459,3182.5211,2017
125,pi-anants,96,3136.1,1,62.5,4.0,3135.68,2017
126,pi-burhan,158,2943.35,3,13.6456,1.0886,2942.53,2017
127,pi-xisong,31,2811.0,3,10.2258,1.129,2810.8525,2017
128,pi-ckao95,853,2797.05,2,1.2825,1.0141,2791.5006,2017
129,pi-skeedy,155,2647.41,5,24.9548,3.2774,2646.625,2017
130,pi-gilbertjack,233,2558.06,9,2.4206,1.0,2556.8475,2017
131,pi-srnagel,506,2428.27,2,3.1344,1.0,2425.5819,2017
132,pi-jgrogger,43,2399.21,1,17.1163,1.0698,2399.0667,2017
133,pi-rayid,119,2119.12,7,10.5294,0.8151,2158.8342,2017
134,pi-yangili1,259,2000.13,1,7.2317,6.6834,1998.9492,2017
135,pi-gskarczm,291,1469.91,2,1.6186,1.0206,445.4044,2017
136,pi-tten,81,1464.08,1,4.5926,1.0,1463.7967,2017
137,pi-kcharles,808,1440.35,1,10.6126,1.0,1436.5972,2017
138,pi-sgsg,1,1370.62,1,100.0,18.0,1370.6111,2017
139,mpcs56420,855,1361.39,11,14.8772,2.8737,1357.1667,2017
140,cmsc33520,318,1276.94,4,74.6667,5.0031,1275.6842,2017
141,pi-joet1,22845,1190.0,2,1.0015,1.0015,1078.8981,2017
142,pi-wilsonp,1165,1188.19,2,14.4395,0.9073,1185.2856,2017
143,pi-gnedin,57,1003.93,1,1619.2807,69.807,13438.3644,2017
144,pi-tokmakoff,1639,923.94,2,1.2532,1.0,924.6667,2017
145,pi-foster,122,865.39,4,57.5,6.2295,864.8797,2017
146,pi-jhuangime,84,859.54,2,3.6786,1.1429,275.2439,2017
147,pi-bermanm,108,763.8,3,6.7685,0.9444,770.6972,2017
148,pi-mnewvill,22,746.32,1,101.4545,5.9545,746.2481,2017
149,rcc-guest,693,704.8,45,6.974,1.3564,701.6397,2017
150,pi-awsch,420,695.96,1,8.2524,8.2524,694.6447,2017
151,pi-l332,45,687.27,1,18.0889,1.0,574.905,2017
152,pi-pchintag,88,597.25,3,6.3068,1.2614,445.9328,2017
153,pi-scicala,6,528.35,1,16.0,1.0,528.3378,2017
154,pi-rwevans,1019,498.86,3,5.6889,1.2395,527.3831,2017
155,pi-gkaplan,311,480.17,3,2.5756,1.3505,459.4533,2017
156,pi-wulongtao,179,462.37,1,6.486000000000001,1.1173,461.5397,2017
157,pi-abinkowski,220,378.41,1,11.9727,1.4727,377.0344,2017
158,rcc-temp2,69,310.68,2,28.9855,1.8116,310.3244,2017
159,pi-ahigh,38,297.99,2,8.0789,0.8158,297.8244,2017
160,pi-drubin8,144,297.36,3,1.5972,1.4931,223.0411,2017
161,pi-hsiehchangtai,72,283.54,1,10.5139,0.9722,283.2694,2017
162,pi-glk,9866,283.29,2,1.0,1.0,218.9131,2017
163,pi-kelloggr,270,277.94,1,1.2111,0.9444,266.0939,2017
164,geos33300,80,274.85,4,36.4375,2.6875,274.4953,2017
165,pi-btian,42,263.09,2,14.9286,1.0,263.0756,2017
166,pi-mrsharma,71,213.19,1,1.2113,1.0141,185.8556,2017
167,pi-wbwu,60,193.1,1,15.4667,0.9667,193.5956,2017
168,pi-jsolway,625,192.63,1,1.0,1.0,189.6247,2017
169,pi-dbrentari,2,191.09,1,100.0,7.5,191.0833,2017
170,pi-hdew,31,185.61,2,11.1935,1.9032,185.4544,2017
171,bngsda,78,183.52,17,1.0,1.0,183.1203,2017
172,pi-rrock,316,142.99,3,6.8513,1.2848,141.4867,2017
173,pi-mkolar,45,124.79,2,1.0,1.0,124.5578,2017
174,ling21720,114,122.63,13,1.1316,1.0,122.0586,2017
175,pi-hfrisch,39,115.96,1,2.1538,1.0,115.7475,2017
176,pi-egrove,47,105.77,1,1.766,1.766,105.4639,2017
177,pi-yaliamit,11,96.31,2,3.4545,1.0,96.2642,2017
178,pi-caprioli,15,87.73,1,1.6,1.0,87.6569,2017
179,pi-mcoates,7,79.81,1,48.8571,7.7143,79.7839,2017
180,pi-pjlarivi,13,76.29,2,7.7692,1.2308,76.2536,2017
181,pi-seifahrt,48,68.42,1,34.3333,2.0833,68.2089,2017
182,pi-mhereld,177,60.68,2,15.9153,1.0,59.9383,2017
183,pi-adrobyshevsky,101,44.61,1,20.3762,1.4158,40.3933,2017
184,pi-dis,728,40.55,6,1.4533,1.0206,35.4742,2017
185,pi-kettimut,5,36.95,3,10.0,1.0,36.9358,2017
186,rcc-instructor,24,35.8,2,15.25,1.2917,35.6758,2017
187,pi-bata,107,34.41,2,3.2523,0.9533,35.0558,2017
188,pi-jfrieman,21,26.27,1,3.1905,0.3333,26.6147,2017
189,pi-jdube,22,18.71,1,6.7273,6.7273,18.6117,2017
190,pi-sarice,84,14.66,1,5.1429,0.5357,18.8942,2017
191,pi-cacioppos,13,12.54,1,3.9231,2.6923,12.4778,2017
192,pi-pricet,14,9.06,2,5.5,1.2143,9.0031,2017
193,pi-tuecke,33,8.93,1,3.8182,1.1212,8.7753,2017
194,pi-rhuang1,6,7.05,2,1.0,1.0,7.0206,2017
195,pi-dgallo,11,6.7,1,1.0,1.0,6.6553,2017
196,pi-vprince,20,6.41,2,21.25,1.0,6.33,2017
197,pi-mhale,3,5.94,1,1.0,1.0,5.9231,2017
198,pi-mlong,49,4.36,1,1.0,1.0,4.1381,2017
199,pi-lorettaau,2,4.28,1,1.0,1.0,4.2742,2017
200,pi-richardjeanso,3,3.45,1,1.0,1.0,3.4342,2017
201,pi-avoena,3,3.07,2,1.0,1.0,3.055,2017
202,pi-qitiguo,16,2.76,1,1.0,1.0,2.7283,2017
203,pi-malegre,2,2.45,1,1.0,1.0,2.4347,2017
204,economgame,2,2.12,1,1.0,1.0,2.1097,2017
205,finm32950,6,1.89,5,1.0,1.0,1.8489,2017
206,pi-emunro,3,1.85,1,1.0,1.0,1.8428,2017
207,pi-abney,4,1.1,1,1.0,1.0,1.07,2017
208,pi-mrust,3,0.84,1,11.0,1.3333,1.1025,2017
209,pi-onibasu,5,0.55,1,0.4,0.4,0.5458,2017
210,pi-jwal,2,0.38,1,1.0,1.0,0.2919,2017
211,pi-anselin,1,0.29,1,1.0,1.0,0.2806,2017
212,pi-jagoldsm,3,0.26,1,1.0,1.0,0.2556,2017
213,pi-candogan,1,0.23,1,1.0,1.0,0.2228,2017
214,pi-arielfeldman,9,0.19,1,21.6667,1.6667,0.155,2017
215,pi-dkutasov,14,0.15,1,0.5,0.5,1.9508,2017
216,pi-blase,4,0.08,1,1.0,1.0,0.0583,2017
217,pi-kavibhalla,20,0.06,1,3.3,0.6,0.0481,2017
218,pi-liantaow,3,0.06,2,22.0,2.0,0.0394,2017
219,pi-baderk,1,0.05,1,1.0,1.0,0.0458,2017
220,pi-fcattane,3,0.04,1,1.0,1.0,0.0169,2017
221,pi-jhr,1,0.01,1,1.0,1.0,0.0008,2017
222,pi-ehurst,1,0.0,1,1.0,0.0,0.0,2017
223,pi-fabrycky,1,0.0,1,1.0,1.0,0.0,2017
224,pi-rstevens,52,0.0,1,0.0,0.0,0.0,2017
0,legacy,196702,6858373.75,24,11.2931,1.1521,5379136.2308,2018
1,pi-depablo,22339,3647632.25,28,25.3279,1.5012,3167726.4825,2018
2,pi-gavoth,12332,3133855.81,28,50.54600000000001,2.8039,2809680.9072,2018
3,pi-gagalli,3458,3064556.23,16,285.6342,11.3103,2364255.2608,2018
4,pi-ishanu,204724,2649028.88,9,23.7271,1.0269,2018648.9619,2018
5,pi-dachxiu,156166,2334717.06,11,5.1442,1.0017,1371395.3667,2018
6,pi-dinner,142759,2300718.15,18,5.3461,1.0132,1747709.0528,2018
7,pi-roux,5219,2034366.87,14,47.5758,2.3206,1617424.2631,2018
8,pi-arzhetsky,6320,1738744.34,9,6.0981,1.0229,369816.5461,2018
9,pi-weare,24392,1530347.98,5,12.614,1.2612,1145658.7764,2018
10,pi-vmbertho,370,1453876.57,1,633.6,39.6811,1453876.5778,2018
11,pi-priviter,44714,1379441.54,5,10.4113,1.2507,1032046.0589,2018
12,pi-freed,917,1282406.54,7,256.7721,9.6892,990617.4689,2018
13,pi-mstephens,126754,1204793.23,17,3.6299,1.0055,414645.5053,2018
14,pi-kite,2823,1017431.66,6,40.2671,3.1938,869032.9631,2018
15,pi-whu5,8794,918980.09,6,19.2797,1.2265,918509.5111,2018
16,pi-taddy,10669,913111.83,5,27.4392,1.9571,538833.7619,2018
17,pi-mengjiechen,15258,821176.9,1,1.0,1.0,34115.7897,2018
18,pi-yanjingl,3266,810375.47,2,19.8031,1.8739,538863.5939,2018
19,pi-gnedin,368,713689.86,2,166.3832,10.5163,713689.5106,2018
20,pi-rkessler,510786,685433.39,16,2.0454,1.0294,673330.9094,2018
21,pi-mfj,734,672033.74,5,188.3038,6.7357,516950.1778,2018
22,pi-gdwyer,8901,650378.74,7,3.174,1.0017,347335.7025,2018
23,pi-sdodelso,1969,594728.96,4,35.5642,2.2275,594727.4411,2018
24,pi-lgrandi,125033,526166.85,38,3.4655,1.0581,277976.9717,2018
25,pi-svaikunt,16616,521097.75,4,4.3811,1.0004,441972.3808,2018
26,pi-gilad,294134,513781.66,15,1.7825,1.0085,144433.2311,2018
27,pi-trsosnic,17729,497683.96,8,3.0796,1.0397,397621.6408,2018
28,pi-khanna7,238,492038.67,4,311.8319,11.6261,378328.5078,2018
29,pi-abbot,39265,484179.46,4,36.5199,2.7064,369906.3994,2018
30,pi-jlskinner,75324,470902.2,4,1.4394,1.0,404537.8928,2018
31,pi-avieregg,27625,459660.51,5,5.4262,1.0,333313.8933,2018
32,pi-cobey,73189,441151.26,6,1.0809,1.0,96891.5214,2018
33,pi-ghitsch,46704,438038.93,1,16.6515,1.0,273811.9586,2018
34,pi-hortacsu,9445,415036.95,6,9.134,1.6596,289246.7283,2018
35,pi-kravtsov,1405,375440.63,8,33.1032,2.1345,329096.0042,2018
36,pi-xinhe,272787,360655.69,11,3.0716,1.0061,82987.6561,2018
37,pi-amurugan,11932,358249.8,5,5.222,1.2541,339797.3956,2018
38,pi-pascualmm,39816,287272.99,7,2.0139,1.0,73347.9867,2018
39,pi-nfschere,374,264599.36,2,76.9626,5.1096,264599.3956,2018
40,pi-moyer,748,259983.21,7,26.0709,1.7513,197002.9825,2018
41,pi-ejadams,841,249158.2,1,129.8644,5.1379,193746.2133,2018
42,pi-levin,12683,246714.32,3,45.2044,4.2575,131107.3931,2018
43,pi-nnn,646,243032.92,1,48.8297,1.8885,187038.3706,2018
44,pi-srnagel,20989,225345.87,2,1.0441,1.0003,44135.2192,2018
45,pi-berkelbach,32288,203548.28,9,1.8755,1.0097,108474.8706,2018
46,pi-jdingel,23983,199204.65,4,15.6121,1.0029,140637.4333,2018
47,pi-wenbinlin,2462,197973.51,1,13.3875,1.0,187942.96,2018
48,bphs35001,1326,197456.88,6,57.6259,3.6335,195127.9036,2018
49,pi-aaz,273,189811.86,2,52.315,1.8864,146009.3744,2018
50,pi-vavra,36262,169134.66,1,12.7837,1.0,112779.4803,2018
51,pi-jheckman,1578,168903.59,1,22.1812,1.3802,148252.6436,2018
52,rcc-staff,42832,143838.21,18,3.2275,1.0773,112249.5439,2018
53,pi-yangili1,146509,138848.15,7,1.5521,1.1382,45646.7386,2018
54,bios10603,821,131895.22,33,111.49700000000001,4.067,101612.0239,2018
55,pi-rtsay,4,126511.41,1,28.0,1.0,97316.4656,2018
56,pi-jozik,334,122521.48,4,130.1078,8.6647,84050.7136,2018
57,pi-jsolway,4565,106213.5,1,1.0366,1.0015,3879.8203,2018
58,pi-jaeger,221,96314.79,4,42.7285,3.0362,96292.2381,2018
59,pi-foster,9492,91686.51,3,13.5304,1.0,91687.0408,2018
60,pi-risi,817,87750.42,4,16.0135,1.0,77382.4539,2018
61,msca,1301,82640.71,58,73.093,3.2898,53310.0117,2018
62,pi-caprioli,13568,79887.67,2,531.0416,19.0016,61462.15,2018
63,pi-weberm,10997,77200.24,2,6.7352,1.0,14473.7508,2018
64,pi-gkaplan,775,62873.77,3,34.0748,1.4232,47995.4575,2018
65,pi-neiman,4766,60682.71,3,7.4368,1.0006,22342.0372,2018
66,pi-tas1,358,60353.9,9,57.2458,3.8883,59475.1381,2018
67,pi-jnovembre,3847,55023.56,13,47.1284,2.3119,35935.5439,2018
68,pi-stin,915,53394.89,2,18.5082,1.3486,41731.4281,2018
69,pi-oto,67,50503.77,1,483.7015,17.403,38849.1253,2018
70,pi-dholz,4407,48511.12,3,26.2696,1.0272,38728.2675,2018
71,pi-mkolar,6769,47514.35,3,30.3967,2.5793,35939.1453,2018
72,pi-littlewood,1384,47413.47,1,31.9422,2.7695,38677.4881,2018
73,pi-awh,2255,47170.15,5,7.0226,1.0399,24651.7486,2018
74,pi-mrust,127,46423.67,1,17.9213,1.0157,43784.1689,2018
75,pi-jrussell,7591,46407.11,1,2.0374,1.0,31831.6108,2018
76,pi-tintelnot,1408,45885.47,4,12.6186,1.0,36197.8783,2018
77,pi-lhansen,6110,36191.5,1,9.4861,1.0682,27811.0117,2018
78,pi-nicho,99,33413.47,1,34.5051,2.2121,27215.6539,2018
79,pi-baderk,2779,32510.12,3,15.9975,1.0241,31770.4569,2018
80,pi-tten,94,27797.34,1,7.234,1.0,23315.5444,2018
81,pi-jingyifei,2696,26275.72,2,6.4254,1.2967,25465.6397,2018
82,pi-burhan,490,26083.87,1,1.0,1.0,2945.0903,2018
83,bios26120,314,23760.18,20,24.7389,1.2548,17216.9536,2018
84,pi-chuanhe,691,23575.78,1,19.1302,1.0724,11439.5139,2018
85,pi-skeedy,178,23038.95,4,37.9045,3.1573,22474.7731,2018
86,pi-aachien,492,21628.94,3,150.6098,11.5427,11836.7239,2018
87,msca32017,551,21311.82,21,83.7314,3.0907,16393.7611,2018
88,cmsc25025,1196,21084.55,61,12.3462,1.1388,17484.5572,2018
89,pi-rwg,51145,21031.09,4,1.0018,1.0018,20654.5808,2018
90,pi-scicala,33,20810.48,1,25.7273,1.0,16148.1278,2018
91,bios10602,2177,20678.35,36,7.202999999999999,1.0845,16035.1383,2018
92,pi-jwal,90,18731.88,1,51.6222,3.2667,17440.3706,2018
93,pi-sepalmer,188,16577.44,5,16.8457,1.0,15650.5497,2018
94,pi-gconstan,134,16400.13,1,42.6269,1.9328,12627.5367,2018
95,macs60000,1105,16323.85,33,3.7801,1.1231,10237.3142,2018
96,pi-dis,13053,15803.76,3,17.3549,1.1266,14772.0894,2018
97,pi-kazutaka,123,14493.05,2,25.0732,1.0,14007.5122,2018
98,pi-berge,205,11958.52,1,25.0683,22.9415,1030.1683,2018
99,pi-jhuangime,155,11834.84,1,7.8774,2.5161,1242.7031,2018
100,pi-mlcoleman,4063,11798.56,6,2.2766,1.0,11528.5797,2018
101,pi-bursztyn,286,9820.21,1,25.549,1.4301,7553.9942,2018
102,pi-rossc,12384,9664.79,5,4.4395,1.249,5712.7858,2018
103,pi-drowley,9,8825.48,1,32.0,4.0,8558.0267,2018
104,meng32000,1168,8585.08,25,21.7021,1.262,7300.2808,2018
105,pi-larogers,86,7966.34,2,16.3488,1.6977,7932.1889,2018
106,pi-jand312,136,6317.76,1,17.0662,1.0,3437.9828,2018
107,pi-sliman,28,6104.28,2,24.5714,1.3571,4698.5069,2018
108,pi-hema,155,5536.75,1,17.7742,1.0581,5371.4936,2018
109,pi-jstubbs1,233,5379.28,1,64.0,5.1545,5379.2889,2018
110,pi-melamed,85,4953.01,1,2.1059,1.1412,532.9469,2018
111,pi-onibasu,867,4064.85,4,1.6597,1.0554,985.5986,2018
112,pi-joet1,2253,4003.95,3,2.9374,1.0067,3567.9994,2018
113,pi-tcovert,96,3986.07,3,12.7708,1.0417,2932.5725,2018
114,pi-bata,287,3880.77,2,20.4321,1.9199,2959.4536,2018
115,pi-ahigh,157,3671.82,1,48.6879,1.7389,2824.4456,2018
116,pi-bermanm,336,3558.82,5,4.7857,1.0119,3557.9869,2018
117,pi-stuartrowan,26,3473.66,1,16.0,1.0,3473.6844,2018
118,pi-gskarczm,36,3405.56,2,2.1667,1.4722,363.6672,2018
119,pi-anitescu,13,3318.38,2,26.3077,1.2308,2552.6006,2018
120,pi-blattman,43,3236.99,1,62.5349,3.9302,1853.0564,2018
121,pi-prhahn,6559,3135.81,1,3.5149,1.0,2412.0956,2018
122,pi-gardel,80,3049.59,1,16.9375,1.0,2419.9008,2018
123,pi-ckao95,9141,2909.51,2,1.0,1.0,2908.1892,2018
124,pi-jaredlewis,49,2589.35,3,11.4082,1.0,1909.7547,2018
125,pi-ftchong,480,2299.52,2,1.0563,1.0,93.5772,2018
126,pi-wilsonp,887,2234.42,2,15.628,1.0,2234.7044,2018
127,pi-aesserkahn,96,2173.81,4,10.2188,1.0,1707.2083,2018
128,pi-drubin8,202,2031.96,5,1.703,1.3317,414.0194,2018
129,pi-simonjon,9,1901.44,1,13.5556,5.1111,577.1694,2018
130,pi-haky,1554,1893.87,4,1.0045,1.0,365.9092,2018
131,pi-bkeenan,53,1823.08,1,3.8302,1.0,1812.0753,2018
132,pi-rcaldentey,682,1786.52,1,1.5821,1.1613,669.8119,2018
133,pi-l332,1135,1688.33,3,1.9753,1.0881,1366.6006,2018
134,pi-wulongtao,318,1682.75,1,7.7642,1.0126,750.6686,2018
135,pi-mrsharma,78,1675.27,1,1.0,1.0,323.4131,2018
136,pi-sgsg,19,1627.19,2,20.0526,1.6842,1603.5472,2018
137,pi-pchintag,22,1441.28,1,42.9091,2.7727,1441.28,2018
138,pi-jagoldsm,88,1318.73,2,60.8864,2.9773,1014.3944,2018
139,pi-awsch,610,1311.03,3,7.3377,7.3377,1311.0003,2018
140,pi-nissa1,17,1301.56,1,8.0,1.0,1001.2044,2018
141,pi-ravenben,207,1296.09,1,1.7391,1.0,746.7625,2018
142,pi-hdew,308,1191.67,2,7.2045,1.3734,1191.6733,2018
143,pi-rjlalond,69,1176.39,2,8.7536,1.0145,879.3081,2018
144,pi-kavibhalla,1072,1130.76,2,1.5905,1.0616,987.33,2018
145,pi-adrobyshevsky,45,1129.76,1,40.3111,1.2,892.3919,2018
146,astr33000,62,1026.31,5,16.3548,1.1129,801.0511,2018
147,mpcs51087,1160,976.59,13,38.9603,2.4612,973.9172,2018
148,mpcs56420,1322,876.13,7,10.5696,1.4947,825.1931,2018
149,pi-wilde,129,875.14,3,9.5349,1.031,875.2122,2018
150,pi-adirienz,535,846.72,1,1.0,1.0,126.0761,2018
151,pi-lekheng,144,831.44,1,19.6806,2.5139,827.9617,2018
152,pi-jstaley,143,800.5,1,3.8182,1.0,167.8606,2018
153,pi-rtp1,252,793.51,1,2.0516,1.0317,789.8925,2018
154,pi-xisong,16,669.96,3,12.375,1.125,656.1436,2018
155,pi-gilbertjack,99,648.08,4,2.2525,1.0101,128.0347,2018
156,pi-yaliamit,31,603.36,2,24.6129,1.0,468.4883,2018
157,pi-uakcigit,34,584.27,1,27.0882,1.0,449.4406,2018
158,pi-scrosson,13,535.54,1,4.1538,1.0,63.6933,2018
159,pi-rrock,252,470.98,2,10.7063,1.5595,422.7056,2018
160,pi-ptoulis,16,459.5,2,6.875,1.25,363.4639,2018
161,rcc-guest,57,455.12,19,11.9123,1.1228,325.5256,2018
162,pi-rayid,123,451.49,3,5.4472,1.0732,390.6178,2018
163,mapss-econ,25,365.79,1,1.0,1.0,281.3742,2018
164,pi-hsiehchangtai,26,347.97,1,29.3462,5.0385,262.2211,2018
165,ppha30531,47,285.52,20,2.2766,1.0,231.1425,2018
166,pi-vprince,641,281.3,3,2.3666,1.0,214.4553,2018
167,pi-kelloggr,445,268.73,2,1.0921,1.0067,268.6272,2018
168,pi-nealey,19,223.57,2,20.2632,1.0,186.3869,2018
169,pi-fritziea,14,172.93,1,1.0,1.0,22.4233,2018
170,pi-glk,4828,156.63,3,1.028,1.0,140.4006,2018
171,pi-btian,4256,150.74,2,1.0073,1.0002,126.5392,2018
172,pi-emunro,27,109.85,1,15.4444,1.037,109.8472,2018
173,bios10130,20,90.72,1,2.35,1.0,40.8325,2018
174,stat37820,87,90.51,11,2.5287,1.0115,84.9578,2018
175,pi-anselin,155,81.99,2,8.0194,1.5548,36.2342,2018
176,pi-mlong,65,68.2,1,1.0,1.0,68.2486,2018
177,chem26800,464,45.12,10,1.194,1.0108,25.6747,2018
178,pi-jfrieman,16,42.96,1,10.375,1.0,40.9667,2018
179,pi-hickmanbr,7,42.76,1,32.4286,5.5714,20.2636,2018
180,pi-sraudenb,13,42.49,1,1.0,1.0,42.4928,2018
181,pi-fabrycky,11,38.99,2,1.0,1.0,38.9972,2018
182,pi-hfrisch,3,38.49,1,16.0,1.0,38.4933,2018
183,pi-lamadon,12,31.98,1,1.0,1.0,14.7414,2018
184,pi-tuecke,53,28.68,1,1.0,1.0,28.6519,2018
185,pi-manishap,7,28.03,1,1.0,1.0,28.03,2018
186,pi-hoytlong,310,22.71,1,1.0,1.0,4.66,2018
187,pi-pjlarivi,23,17.15,4,12.1739,1.3043,16.8875,2018
188,pi-mhereld,71,11.89,1,14.0986,1.0,11.5639,2018
189,pi-pricet,22,9.89,2,7.1364,1.0,8.8958,2018
190,pi-abinkowski,79,7.47,2,6.2911,1.1646,7.6072,2018
191,pi-qitiguo,10,6.04,1,1.0,1.0,6.0392,2018
192,macs30200,3,5.21,1,6.0,1.0,4.57,2018
193,pi-bpopko,7,4.25,1,1.0,1.0,3.2839,2018
194,pi-tzeferacos,12,3.14,1,1.0,1.0,3.1339,2018
195,pi-jevans,5,3.12,2,1.0,1.0,2.1422,2018
196,pi-joshuaelliott,2,2.58,1,1.0,1.0,2.5836,2018
197,pi-sarice,17,2.46,1,14.5882,1.0,2.4733,2018
198,pi-wtang,1,2.17,1,1.0,1.0,0.7239,2018
199,pi-xczhang,7,2.02,1,1.5714,1.0,0.6344,2018
200,pi-anants,1,2.0,1,1.0,1.0,2.0039,2018
201,pi-nchevrier,125,1.56,2,1.104,1.0,0.9586,2018
202,pi-gb11,2,0.79,1,1.0,1.0,0.7958,2018
203,pi-fcattane,6,0.75,1,1.0,1.0,0.6681,2018
204,pi-aruthenburg,40,0.72,1,1.0,1.0,0.2489,2018
205,pi-mlzhao,4,0.36,2,1.0,1.0,0.36,2018
206,pi-tays,44,0.28,1,1.6136,1.0,0.2553,2018
207,hgen47100,8,0.2,1,28.0,1.0,0.1556,2018
208,pi-junchenj,4,0.03,1,4.75,1.0,0.0311,2018
209,pi-tokmakoff,1,0.02,1,2.0,1.0,0.0072,2018
210,pi-sokolov,1,0.0,1,1.0,1.0,0.0028,2018
211,pi-dbrentari,1,0.0,1,1.0,1.0,0.0003,2018
212,pi-eperozo,1,0.0,1,1.0,1.0,0.0003,2018
213,mxcheng,2,0.0,1,1.0,1.0,0.0,2018
